branch,task,channel,contrast,effect,ci_low,ci_high,p_conditional,role,p_holm_within_branch
P0,1,F3,common,-5.6087401043490486,-13.153267228150769,2.0959759344896742,0.223,secondary_sensitivity_not_new_confirmation,1
P0,1,F3,difference,-5.4878356083919639,-20.943366101198922,12.67988339185608,0.52200000000000002,secondary_sensitivity_not_new_confirmation,1
P0,1,F4,common,-1.4006565576339454,-7.2301589116963365,6.0951555030788027,0.73299999999999998,secondary_sensitivity_not_new_confirmation,1
P0,1,F4,difference,1.773897793949806,-12.897562438695585,16.738207595915917,0.86199999999999999,secondary_sensitivity_not_new_confirmation,1
P0,1,Fz,common,-15.606851957754605,-37.282345709965682,6.119715237760059,0.30399999999999999,secondary_sensitivity_not_new_confirmation,1
P0,1,Fz,difference,-47.259030316082971,-93.178701935814559,-6.6818162337763232,0.097000000000000003,secondary_sensitivity_not_new_confirmation,1
P0,2,F3,common,17.383405094731632,-12.398677190348709,47.993975385753096,0.33200000000000002,secondary_sensitivity_not_new_confirmation,1
P0,2,F3,difference,-12.885559489252078,-93.943537723708886,66.618077642305977,0.78800000000000003,secondary_sensitivity_not_new_confirmation,1
P0,2,F4,common,-12.443660850581347,-33.687189512182755,12.0308484759043,0.38900000000000001,secondary_sensitivity_not_new_confirmation,1
P0,2,F4,difference,-30.26253956740435,-91.742799047632801,21.201932712423311,0.33500000000000002,secondary_sensitivity_not_new_confirmation,1
P0,2,Fz,common,-22.629989780860207,-28.16357456300776,-16.427989562590401,0.001,secondary_sensitivity_not_new_confirmation,0.012
P0,2,Fz,difference,4.8116930802908255,-5.7965610607086751,15.553697045304945,0.47499999999999998,secondary_sensitivity_not_new_confirmation,1
SLOW30,1,F3,common,-10.315929952819362,-33.155758919379196,12.767021078639608,0.503,secondary_sensitivity_not_new_confirmation,1
SLOW30,1,F3,difference,-23.052247930346329,-62.528361199353775,14.852009619846212,0.33700000000000002,secondary_sensitivity_not_new_confirmation,1
SLOW30,1,F4,common,11.277666201757176,-13.146530505365789,36.549144816711397,0.505,secondary_sensitivity_not_new_confirmation,1
SLOW30,1,F4,difference,5.2117592712826371,-30.99359659763098,51.277181433983863,0.85999999999999999,secondary_sensitivity_not_new_confirmation,1
SLOW30,1,Fz,common,-15.064170162288736,-41.423131424196534,11.325940784322761,0.376,secondary_sensitivity_not_new_confirmation,1
SLOW30,1,Fz,difference,-59.022391189730527,-133.28916853075336,1.5720008916651338,0.10000000000000001,secondary_sensitivity_not_new_confirmation,0.80000000000000004
SLOW30,2,F3,common,77.55692963234722,45.493855603817735,111.37266741431134,0.0030000000000000001,secondary_sensitivity_not_new_confirmation,0.036000000000000004
SLOW30,2,F3,difference,-41.606144599554128,-136.5734215057889,43.090282706483109,0.377,secondary_sensitivity_not_new_confirmation,1
SLOW30,2,F4,common,61.051867931448143,30.654339492443285,95.422000199286117,0.0089999999999999993,secondary_sensitivity_not_new_confirmation,0.089999999999999997
SLOW30,2,F4,difference,-84.086975701628404,-163.39410617686517,-18.349270475184625,0.050000000000000003,secondary_sensitivity_not_new_confirmation,0.45000000000000001
SLOW30,2,Fz,common,40.705899737458672,24.610385322358407,56.305364745426395,0.0030000000000000001,secondary_sensitivity_not_new_confirmation,0.036000000000000004
SLOW30,2,Fz,difference,8.1863903638426656,-10.268678907972909,25.362894273366013,0.48999999999999999,secondary_sensitivity_not_new_confirmation,1
P0_LARGER_PADDING,1,F3,common,-5.3304051483871184,-13.57915708725,3.7403458763505411,0.28199999999999997,secondary_sensitivity_not_new_confirmation,1
P0_LARGER_PADDING,1,F3,difference,-7.4847637559408486,-23.699453097477004,11.284852792380452,0.43099999999999999,secondary_sensitivity_not_new_confirmation,1
P0_LARGER_PADDING,1,F4,common,-1.2721946047831891,-8.3001988940429232,7.1456759940939154,0.77600000000000002,secondary_sensitivity_not_new_confirmation,1
P0_LARGER_PADDING,1,F4,difference,0.12206160623062541,-14.679675943076001,15.669335889666051,0.98899999999999999,secondary_sensitivity_not_new_confirmation,1
P0_LARGER_PADDING,1,Fz,common,-12.657348357131356,-37.329849868560544,11.18750954369921,0.435,secondary_sensitivity_not_new_confirmation,1
P0_LARGER_PADDING,1,Fz,difference,-48.448275360115943,-97.418040122200367,-5.1281478433365182,0.10199999999999999,secondary_sensitivity_not_new_confirmation,1
P0_LARGER_PADDING,2,F3,common,26.69516380432119,-5.592454404696996,58.089326455142071,0.151,secondary_sensitivity_not_new_confirmation,1
P0_LARGER_PADDING,2,F3,difference,-8.5527846133622099,-94.585434224578236,75.661591863751724,0.86399999999999999,secondary_sensitivity_not_new_confirmation,1
P0_LARGER_PADDING,2,F4,common,1.2115824155226556,-23.242087155561475,29.92995045108524,0.93799999999999994,secondary_sensitivity_not_new_confirmation,1
P0_LARGER_PADDING,2,F4,difference,-29.150213471873474,-106.10336130665884,30.824405386520965,0.436,secondary_sensitivity_not_new_confirmation,1
P0_LARGER_PADDING,2,Fz,common,-15.034569674309381,-22.233327726630552,-7.1565924555389975,0.010999999999999999,secondary_sensitivity_not_new_confirmation,0.13200000000000001
P0_LARGER_PADDING,2,Fz,difference,8.4105439538734199,-6.8842476513136814,24.039383119591033,0.35399999999999998,secondary_sensitivity_not_new_confirmation,1
