branch,family,peak_ratio_F3,amplitude_bias_abs,peak_shift_samples_F3,peak_shift_samples_max,relative_waveform_error
P0,broad_common,0.91905684302128843,0.080943156978732889,0,0,0.14493782830338936
P0,narrow_antisym,0.9792049517816257,0.020795048218374301,0,0,0.063634699733506342
P0,shifted_antisym,0.91252725086093789,0.087472749139139827,0,0,0.22447726699092338
P0,biphasic_common,0.94090013037134734,0.059099869628652657,0,0,0.12756709843065175
P0,oscillatory,0.9999637320440985,3.6267955901503335e-05,0,0,3.8976750167000195e-05
P0,slow_common,0.7268077888134461,0.2731922111865539,-1,1,0.32123521545869299
SLOW30,broad_common,0.99999997265355822,2.7346441777709174e-08,0,0,2.3224178931588448e-08
SLOW30,narrow_antisym,0.99967535160823062,0.00032464839176937765,0,0,0.0002809513137587921
SLOW30,shifted_antisym,0.99999718156847794,2.8184315220558531e-06,0,0,2.3859757077733277e-06
SLOW30,biphasic_common,0.99999943823157433,5.6176842566646457e-07,0,0,8.4384523170976149e-06
SLOW30,oscillatory,0.99990094281226982,9.9057187730178242e-05,0,0,0.00010337460762472297
SLOW30,slow_common,0.99999999999290778,7.0931038820276626e-12,0,0,8.2843654413316973e-12
