task,condition,channel,replicate,converged,boundary,k
1,-1,Fz,0,True,False,0
1,-1,Fz,1,True,False,0
1,-1,Fz,2,True,False,0
1,-1,Fz,3,True,False,0
1,-1,Fz,4,True,False,0
1,-1,Fz,5,True,False,0
1,-1,Fz,6,True,False,0
1,-1,Fz,7,True,False,0
1,-1,Fz,8,True,False,0
1,-1,Fz,9,True,False,0
1,-1,Fz,10,True,False,0
1,-1,Fz,11,True,False,0
1,-1,Fz,12,True,False,0
1,-1,Fz,13,True,False,0
1,-1,Fz,14,True,False,0
1,-1,Fz,15,True,False,0
1,-1,Fz,16,True,False,0
1,-1,Fz,17,True,False,0
1,-1,Fz,18,True,False,0
1,-1,Fz,19,True,False,0
1,-1,Fz,20,True,False,0
1,-1,Fz,21,True,False,0
1,-1,Fz,22,True,False,0
1,-1,Fz,23,True,False,0
1,-1,Fz,24,True,False,0
1,-1,Fz,25,True,False,0
1,-1,Fz,26,True,False,0
1,-1,Fz,27,True,False,0
1,-1,Fz,28,True,False,0
1,-1,Fz,29,True,False,0
1,-1,Fz,30,True,False,0
1,-1,Fz,31,True,False,0
1,-1,Fz,32,True,False,0
1,-1,Fz,33,True,False,0
1,-1,Fz,34,True,False,0
1,-1,Fz,35,True,False,0
1,-1,Fz,36,True,False,0
1,-1,Fz,37,True,False,0
1,-1,Fz,38,True,False,0
1,-1,Fz,39,True,False,0
1,-1,Fz,40,True,False,0
1,-1,Fz,41,True,False,0
1,-1,Fz,42,True,False,0
1,-1,Fz,43,True,False,0
1,-1,Fz,44,True,False,0
1,-1,Fz,45,True,False,0
1,-1,Fz,46,True,False,0
1,-1,Fz,47,True,False,0
1,-1,Fz,48,True,False,0
1,-1,Fz,49,True,False,0
1,-1,Fz,50,True,False,0
1,-1,Fz,51,True,False,0
1,-1,Fz,52,True,False,0
1,-1,Fz,53,True,False,0
1,-1,Fz,54,True,False,0
1,-1,Fz,55,True,False,0
1,-1,Fz,56,True,False,0
1,-1,Fz,57,True,False,0
1,-1,Fz,58,True,False,0
1,-1,Fz,59,True,False,0
1,-1,Fz,60,True,False,0
1,-1,Fz,61,True,False,0
1,-1,Fz,62,True,False,0
1,-1,Fz,63,True,False,0
1,-1,Fz,64,True,False,0
1,-1,Fz,65,True,False,0
1,-1,Fz,66,True,False,0
1,-1,Fz,67,True,False,0
1,-1,Fz,68,True,False,0
1,-1,Fz,69,True,False,0
1,-1,Fz,70,True,False,0
1,-1,Fz,71,True,False,0
1,-1,Fz,72,True,False,0
1,-1,Fz,73,True,False,0
1,-1,Fz,74,True,False,0
1,-1,Fz,75,True,False,0
1,-1,Fz,76,True,False,0
1,-1,Fz,77,True,False,0
1,-1,Fz,78,True,False,0
1,-1,Fz,79,True,False,0
1,-1,Fz,80,True,False,0
1,-1,Fz,81,True,False,0
1,-1,Fz,82,True,False,0
1,-1,Fz,83,True,False,0
1,-1,Fz,84,True,False,0
1,-1,Fz,85,True,False,0
1,-1,Fz,86,True,False,0
1,-1,Fz,87,True,False,0
1,-1,Fz,88,True,False,0
1,-1,Fz,89,True,False,0
1,-1,Fz,90,True,False,0
1,-1,Fz,91,True,False,0
1,-1,Fz,92,True,False,0
1,-1,Fz,93,True,False,0
1,-1,Fz,94,True,False,0
1,-1,Fz,95,True,False,0
1,-1,Fz,96,True,False,0
1,-1,Fz,97,True,False,0
1,-1,Fz,98,True,False,0
1,-1,Fz,99,True,False,0
1,-1,F3,0,True,False,0
