task,condition,channel,k,fold,method,loss,converged,boundary
1,-1,Fz,0,0,P0,0.075833557083986647,True,False
1,-1,Fz,0,1,P0,0.081522143965611166,True,False
1,-1,Fz,0,2,P0,0.25621323676397156,True,False
1,-1,Fz,0,3,P0,0.059639962904428488,True,False
1,-1,Fz,1,0,P0,0.086129621336477183,True,True
1,-1,Fz,1,1,P0,0.086769442526202167,True,True
1,-1,Fz,1,2,P0,0.25298164340624724,True,False
1,-1,Fz,1,3,P0,0.063659344664959344,True,True
1,-1,Fz,2,0,P0,0.086652370569682113,True,True
1,-1,Fz,2,1,P0,0.093817398179503936,True,True
1,-1,Fz,2,2,P0,0.25947671250773002,True,False
1,-1,Fz,2,3,P0,0.063897423493796388,True,True
1,-1,F3,0,0,P0,0.35327299970722237,True,False
1,-1,F3,0,1,P0,0.14308066863865443,True,False
1,-1,F3,0,2,P0,0.095157717799581321,True,False
1,-1,F3,0,3,P0,0.048143119170764956,True,False
1,-1,F3,1,0,P0,0.35254076337939233,True,True
1,-1,F3,1,1,P0,0.18843553959772175,True,True
1,-1,F3,1,2,P0,0.089017720259472147,True,False
1,-1,F3,1,3,P0,0.05151141213838091,True,False
1,-1,F3,2,0,P0,0.35884079908057798,True,True
1,-1,F3,2,1,P0,0.18963187660615036,True,True
1,-1,F3,2,2,P0,0.081734625436380243,True,True
1,-1,F3,2,3,P0,0.045704655147676874,True,True
1,-1,F4,0,0,P0,0.21186330721497504,True,False
1,-1,F4,0,1,P0,0.099976749695880537,True,False
1,-1,F4,0,2,P0,0.10707260605226337,True,False
1,-1,F4,0,3,P0,0.025357030849043016,True,False
1,-1,F4,1,0,P0,0.20596059641558559,True,False
1,-1,F4,1,1,P0,0.17150764641983041,True,True
1,-1,F4,1,2,P0,0.09785944762150825,True,False
1,-1,F4,1,3,P0,0.026537072712802388,True,True
1,-1,F4,2,0,P0,0.19396866096119414,True,True
1,-1,F4,2,1,P0,0.17239943600052995,True,True
1,-1,F4,2,2,P0,0.070351374210123024,True,True
1,-1,F4,2,3,P0,0.017777985303908544,True,True
1,1,Fz,0,0,P0,0.0015183072198141716,True,False
1,1,Fz,0,1,P0,0.026537750642376137,True,False
1,1,Fz,0,2,P0,0.008710740489712241,True,False
1,1,Fz,0,3,P0,0.013076221332027221,True,False
1,1,Fz,1,0,P0,0.002657823622293316,True,False
1,1,Fz,1,1,P0,0.025475446931316162,True,True
1,1,Fz,1,2,P0,0.0076380972426423029,True,False
1,1,Fz,1,3,P0,0.01211283938814379,True,False
1,1,Fz,2,0,P0,0.0033171054653924827,True,True
1,1,Fz,2,1,P0,0.024525701643336135,True,True
1,1,Fz,2,2,P0,0.0068748595270904213,True,True
1,1,Fz,2,3,P0,0.013355420968739136,True,True
1,1,F3,0,0,P0,0.026281302414159428,True,False
1,1,F3,0,1,P0,0.14149410476021432,True,False
1,1,F3,0,2,P0,0.16539751768502303,True,False
1,1,F3,0,3,P0,0.02339731905591682,True,False
1,1,F3,1,0,P0,0.058741441339900613,True,True
1,1,F3,1,1,P0,0.12661937136761423,True,True
1,1,F3,1,2,P0,0.16458050946433483,True,True
1,1,F3,1,3,P0,0.022782391643173184,True,False
1,1,F3,2,0,P0,0.066178427629684913,True,True
1,1,F3,2,1,P0,0.11735286834559262,True,True
1,1,F3,2,2,P0,0.15820640797025037,True,True
1,1,F3,2,3,P0,0.013131352857825089,True,True
1,1,F4,0,0,P0,0.077907970426574616,True,False
1,1,F4,0,1,P0,0.15165124072272373,True,False
1,1,F4,0,2,P0,0.090053981870066413,True,False
1,1,F4,0,3,P0,0.028164122247053253,True,False
1,1,F4,1,0,P0,0.13805593464106986,True,True
1,1,F4,1,1,P0,0.12879769168659089,True,True
1,1,F4,1,2,P0,0.081988977955851972,True,False
1,1,F4,1,3,P0,0.027669120414900127,True,True
1,1,F4,2,0,P0,0.14734875010829304,True,True
1,1,F4,2,1,P0,0.1242065459730497,True,True
1,1,F4,2,2,P0,0.075569612989334983,True,True
1,1,F4,2,3,P0,0.020519039921506107,True,True
2,-1,Fz,0,0,P0,0.41588588962342632,True,False
2,-1,Fz,0,1,P0,0.43077132050531719,True,False
2,-1,Fz,0,2,P0,0.49256797194724633,True,False
2,-1,Fz,0,3,P0,0.3438093473316699,True,False
2,-1,Fz,1,0,P0,0.073120945759582237,True,True
2,-1,Fz,1,1,P0,0.10907100376207883,True,True
2,-1,Fz,1,2,P0,0.10393546705898782,True,True
2,-1,Fz,1,3,P0,0.13784569643514075,True,True
2,-1,Fz,2,0,P0,0.0095024322588542313,True,True
2,-1,Fz,2,1,P0,0.041378652263707662,True,True
2,-1,Fz,2,2,P0,0.020316950085604069,True,True
2,-1,Fz,2,3,P0,0.064355819334219147,True,True
2,-1,F3,0,0,P0,0.047617163958190517,True,False
2,-1,F3,0,1,P0,0.062493185728936446,True,False
2,-1,F3,0,2,P0,0.17230968115309617,True,False
