task,condition,channel,method,selected_k,converged,boundary,train_rmse,historical_P0_rmse,successful_bootstraps
1,-1,Fz,P0,0,True,False,10.699350421693365,30.659845138968468,100
1,-1,F3,P0,0,True,False,4.2706377724439211,8.9377066484794128,100
1,-1,F4,P0,0,True,False,6.6293795887382023,12.819914454420131,100
1,1,Fz,P0,1,True,True,3.3925286313359342,35.613808193745989,100
1,1,F3,P0,2,True,True,1.3359196370023436,4.3977471737782627,100
1,1,F4,P0,0,True,False,7.1041155676615002,10.345053938043879,100
2,-1,Fz,P0,2,True,True,3.1192255809290357,7.6530914859145636,100
2,-1,F3,P0,1,True,True,12.578452766176607,25.174766573465021,100
2,-1,F4,P0,2,True,True,4.2397431567907029,48.412096758638612,100
2,1,Fz,P0,2,True,True,3.0583044874906893,12.714390705760554,100
2,1,F3,P0,2,True,False,4.9162046197625928,23.854509713266584,100
2,1,F4,P0,2,True,False,11.344231737409284,16.914372479323902,100
