task,condition,channel,method,selected_k,time_s,training_clean_mean,historical_P0_mean,fit,fit_ci_low,fit_ci_high
1,-1,Fz,P0,0,-0.19921875,-0.37628158378104715,2.7186325865117085,,,
1,-1,Fz,P0,0,-0.1953125,-0.89015651316275635,3.2275435232779608,,,
1,-1,Fz,P0,0,-0.19140625,-1.3227666991462026,3.5586076504894106,,,
1,-1,Fz,P0,0,-0.1875,-1.5986546322965758,3.7271481079770012,,,
1,-1,Fz,P0,0,-0.18359375,-1.6489515522799623,3.806039816897576,,,
1,-1,Fz,P0,0,-0.1796875,-1.4373560841351689,3.8861030154246397,,,
1,-1,Fz,P0,0,-0.17578125,-0.99388279195836526,4.0354612564219856,,,
1,-1,Fz,P0,0,-0.171875,-0.4274722611570827,4.2676636096741092,,,
1,-1,Fz,P0,0,-0.16796875,0.10202955322504537,4.5244258647825522,,,
1,-1,Fz,P0,0,-0.1640625,0.44520752312159395,4.6844430491396887,,,
1,-1,Fz,P0,0,-0.16015625,0.52561895738777997,4.6076598502343318,,,
1,-1,Fz,P0,0,-0.15625,0.3667491513000099,4.2030226007183416,,,
1,-1,Fz,P0,0,-0.15234375,0.06690353239039401,3.4822437521439702,,,
1,-1,Fz,P0,0,-0.1484375,-0.26050102784501783,2.5623582834787872,,,
1,-1,Fz,P0,0,-0.14453125,-0.54081864854317008,1.6139884161787972,,,
1,-1,Fz,P0,0,-0.140625,-0.75421027675996244,0.78996497228150087,,,
1,-1,Fz,P0,0,-0.13671875,-0.91466403399694851,0.17552863743721314,,,
1,-1,Fz,P0,0,-0.1328125,-1.0388322487461044,-0.22230437602643391,,,
1,-1,Fz,P0,0,-0.12890625,-1.1284547213336722,-0.45592936444747739,,,
1,-1,Fz,P0,0,-0.125,-1.1684549420574228,-0.61020435591621403,,,
1,-1,Fz,P0,0,-0.12109375,-1.1294203522595834,-0.78056536714064673,,,
1,-1,Fz,P0,0,-0.1171875,-0.96922763890131036,-1.0510668473296894,,,
1,-1,Fz,P0,0,-0.11328125,-0.64098124835998904,-1.4614615743883821,,,
1,-1,Fz,P0,0,-0.109375,-0.11512822169443482,-1.9722967877756128,,,
1,-1,Fz,P0,0,-0.10546875,0.58996677968103939,-2.4591495754443895,,,
1,-1,Fz,P0,0,-0.1015625,1.3886150302051228,-2.7565142416448971,,,
1,-1,Fz,P0,0,-0.09765625,2.1388920533546845,-2.7336289665557323,,,
1,-1,Fz,P0,0,-0.09375,2.6874135034568445,-2.3603633221152225,,,
1,-1,Fz,P0,0,-0.08984375,2.9293595245670798,-1.7324130706684224,,,
1,-1,Fz,P0,0,-0.0859375,2.8521309767061815,-1.0506275671046053,,,
1,-1,Fz,P0,0,-0.08203125,2.537484602792321,-0.56473173930751297,,,
1,-1,Fz,P0,0,-0.078125,2.1225097328874685,-0.49717311949810605,,,
1,-1,Fz,P0,0,-0.07421875,1.7446485779650145,-0.966886378833684,,,
1,-1,Fz,P0,0,-0.0703125,1.4977881706602429,-1.9350927480337883,,,
1,-1,Fz,P0,0,-0.06640625,1.4091185644412512,-3.1941355210581528,,,
1,-1,Fz,P0,0,-0.0625,1.4348382907748269,-4.4152783850640898,,,
1,-1,Fz,P0,0,-0.05859375,1.4767972024069858,-5.2539765603003561,,,
1,-1,Fz,P0,0,-0.0546875,1.4241819057232945,-5.4767824880108984,,,
1,-1,Fz,P0,0,-0.05078125,1.2080540211680479,-5.0458184177821375,,,
1,-1,Fz,P0,0,-0.046875,0.8361380100263861,-4.1115514210447621,,,
1,-1,Fz,P0,0,-0.04296875,0.38111020477927726,-2.9238980962023624,,,
1,-1,Fz,P0,0,-0.0390625,-0.069396171138498081,-1.7246534208848614,,,
1,-1,Fz,P0,0,-0.03515625,-0.46307044485140808,-0.68080588505655182,,,
1,-1,Fz,P0,0,-0.03125,-0.79978529263058284,0.1285393117008212,,,
1,-1,Fz,P0,0,-0.02734375,-1.1102809771281241,0.69141129485341557,,,
1,-1,Fz,P0,0,-0.0234375,-1.4167044715343056,1.0233809372055109,,,
1,-1,Fz,P0,0,-0.01953125,-1.7018384902890045,1.1162523748037454,,,
1,-1,Fz,P0,0,-0.015625,-1.9069278698519745,0.89836838022150811,,,
1,-1,Fz,P0,0,-0.01171875,-1.9620711656386303,0.24597837817128004,,,
1,-1,Fz,P0,0,-0.0078125,-1.832000307093643,-0.93615265170451967,,,
1,-1,Fz,P0,0,-0.00390625,-1.5472652004500218,-2.601303420686345,,,
1,-1,Fz,P0,0,0,-1.1995567369977076,-4.4935562392599664,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.00390625,-0.90288354976236274,-6.1947712282669274,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.0078125,-0.73966370546921534,-7.2883337271585473,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.01171875,-0.71451730293752125,-7.5621164630278486,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.015625,-0.73538352818325103,-7.1316430795723385,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.01953125,-0.63690731051407701,-6.3969086895421734,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.0234375,-0.25268762806580242,-5.8436362675417683,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.02734375,0.47274172223886507,-5.8014143773252611,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.03125,1.3665627665184508,-6.3004596679651135,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.03515625,1.9692954258480484,-7.099996520123689,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.0390625,1.6105480383572743,-7.850006512621853,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.04296875,-0.34911084637734097,-8.2777271434868993,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.046875,-4.1812298937105625,-8.2966301200920398,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.05078125,-9.5365729605626317,-7.9964953416972886,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.0546875,-15.468890859157851,-7.5465328013552195,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.05859375,-20.784102460079151,-7.0897435099821697,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.0625,-24.538436578474514,-6.6970875247852648,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.06640625,-26.395463486514419,-6.3908659395269556,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.0703125,-26.658755750254585,-6.1900965036275499,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.07421875,-26.018472188295544,-6.1276201499651375,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.078125,-25.198324940094977,-6.2305214054123743,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.08203125,-24.687402930926666,-6.4894034049643325,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.0859375,-24.643546401607065,-6.8413131081423657,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.08984375,-24.951499182027717,-7.1756870532307913,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.09375,-25.363818139879939,-7.3642072717109031,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.09765625,-25.647942305372762,-7.3096064578828894,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.1015625,-25.684932979220047,-6.9977036085128788,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.10546875,-25.495451177051763,-6.5290292056882979,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.109375,-25.199006734903175,-6.1100411975735671,-27.062365191653253,-53.368231286110955,1.9198542475808842
1,-1,Fz,P0,0,0.11328125,-24.936698324119998,-5.9961922841247803,-27.062365191653253,-53.368231286110955,1.9198542475808842
