task,method,is_selected,family,scope,artifact,artifact_removal_fraction,effective_n,out_of_candidate_subspace_fraction,linearity_max_abs_error,incremental_error_vs_P0,peak_ratio_F3,amplitude_bias_abs,peak_shift_samples_F3,peak_shift_samples_max,relative_waveform_error
1,P0,False,broad_common,single_trial_operator,none,,20,1,9.5714547398983996e-12,0,0.91905684302125612,0.08094315697874388,0,0,0.14493782830339585
1,P0,False,broad_common,weighted_ERP_pipeline,blink_like,0.28587811215051717,20,1,,,0.91905684302097801,0.080943156979021991,0,0,0.14493782830350349
1,P0,False,broad_common,weighted_ERP_pipeline,muscle_like,0.99948464518190372,20,1,,,0.91905684302113022,0.080943156978961373,0,0,0.14493782830366281
1,P0,False,broad_common,weighted_ERP_pipeline,step_like,0.2606754648059908,20,1,,,0.91905684302120727,0.080943156978915853,0,0,0.14493782830362198
1,P0,False,narrow_antisym,single_trial_operator,none,,20,1,7.53563877964325e-12,0,0.97920495178162603,0.02079504821840461,0,0,0.063634699733514474
1,P0,False,narrow_antisym,weighted_ERP_pipeline,blink_like,0.28587811215064429,20,1,,,0.97920495178138411,0.020795048218615886,0,0,0.06363469973384181
1,P0,False,narrow_antisym,weighted_ERP_pipeline,muscle_like,0.99948464518190372,20,1,,,0.97920495178158473,0.020795048218415269,0,0,0.063634699733290376
1,P0,False,narrow_antisym,weighted_ERP_pipeline,step_like,0.2606754648059969,20,1,,,0.97920495178154154,0.020795048218458456,0,0,0.063634699733395236
1,P0,False,shifted_antisym,single_trial_operator,none,,20,1,7.7884365623503982e-12,0,0.91252725086094111,0.087472749139104078,0,0,0.22447726699084694
1,P0,False,shifted_antisym,weighted_ERP_pipeline,blink_like,0.28587811215065528,20,1,,,0.91252725086102948,0.087472749141599859,0,0,0.2244772669910842
1,P0,False,shifted_antisym,weighted_ERP_pipeline,muscle_like,0.99948464518190372,20,1,,,0.91252725086104192,0.087472749141993211,0,0,0.22447726699099549
1,P0,False,shifted_antisym,weighted_ERP_pipeline,step_like,0.26067546480600978,20,1,,,0.91252725086105757,0.087472749142214479,0,0,0.2244772669910792
1,P0,False,biphasic_common,single_trial_operator,none,,20,1,7.9773965211415998e-12,0,0.94090013037131692,0.059099869628683077,0,0,0.12756709843068409
1,P0,False,biphasic_common,weighted_ERP_pipeline,blink_like,0.28587811215078818,20,1,,,0.94090013037129361,0.059099869629068214,0,0,0.1275670984310194
1,P0,False,biphasic_common,weighted_ERP_pipeline,muscle_like,0.99948464518190372,20,1,,,0.940900130371354,0.059099869629117951,0,0,0.1275670984310909
1,P0,False,biphasic_common,weighted_ERP_pipeline,step_like,0.26067546480606973,20,1,,,0.94090013037130305,0.059099869629082313,0,0,0.12756709843105993
1,P0,False,oscillatory,single_trial_operator,none,,20,1,8.4636152253292352e-12,0,0.99996373204413913,3.6267955952573594e-05,0,0,3.8976750167457891e-05
1,P0,False,oscillatory,weighted_ERP_pipeline,blink_like,0.28587811215080028,20,1,,,0.99996373204386535,3.626795613465017e-05,0,0,3.8976750167436031e-05
1,P0,False,oscillatory,weighted_ERP_pipeline,muscle_like,0.99948464518190372,20,1,,,0.99996373204401046,3.6267956099567122e-05,0,0,3.89767501665199e-05
1,P0,False,oscillatory,weighted_ERP_pipeline,step_like,0.26067546480600046,20,1,,,0.99996373204411004,3.6267955889957015e-05,0,0,3.8976750167309328e-05
1,P0,False,slow_common,single_trial_operator,none,,20,1,5.1505466558410262e-12,0,0.72680778881338792,0.27319221118661208,-1,1,0.32123521545874839
1,P0,False,slow_common,weighted_ERP_pipeline,blink_like,0.28587811215072323,20,1,,,0.72680778881332708,0.27319221118667292,-1,1,0.32123521545861689
1,P0,False,slow_common,weighted_ERP_pipeline,muscle_like,0.99948464518190372,20,1,,,0.72680778881346708,0.27319221118654402,-1,1,0.32123521545861633
1,P0,False,slow_common,weighted_ERP_pipeline,step_like,0.26067546480594384,20,1,,,0.7268077888136979,0.2731922111864139,-1,1,0.32123521545846861
1,P0,False,outside_subspace_stress,single_trial_operator,none,,20,1,7.3629990993140382e-12,0,0.94438732626488853,2.0391567900169694,0,54,0.078397198919195804
1,P0,False,outside_subspace_stress,weighted_ERP_pipeline,blink_like,0.28587811215079528,20,1,,,0.94438732626463429,2.039156790017016,0,54,0.07839719891928279
1,P0,False,outside_subspace_stress,weighted_ERP_pipeline,muscle_like,0.99948464518190372,20,1,,,0.94438732626475219,2.0391567900170031,0,54,0.078397198919283609
1,P0,False,outside_subspace_stress,weighted_ERP_pipeline,step_like,0.26067546480600168,20,1,,,0.94438732626505983,2.0391567900171355,0,54,0.078397198919120767
1,P0,False,mixed_subspace_stress,single_trial_operator,none,,20,1,5.0672799289941395e-12,0,0.92875141442745357,0.07124858557254643,0,0,0.10656430528671744
1,P0,False,mixed_subspace_stress,weighted_ERP_pipeline,blink_like,0.28587811215070091,20,1,,,0.92875141442736775,0.07124858557263225,0,0,0.10656430528696398
1,P0,False,mixed_subspace_stress,weighted_ERP_pipeline,muscle_like,0.99948464518190372,20,1,,,0.9287514144273179,0.071248585572682099,0,0,0.10656430528699046
1,P0,False,mixed_subspace_stress,weighted_ERP_pipeline,step_like,0.26067546480602077,20,1,,,0.92875141442741949,0.071248585572580514,0,0,0.10656430528690401
1,W0,False,broad_common,single_trial_operator,none,,20,1,9.5714547398983996e-12,0,0.91905684302125612,0.08094315697874388,0,0,0.14493782830339585
1,W0,False,broad_common,weighted_ERP_pipeline,blink_like,0.12032396135323453,18.039821779758004,1,,,0.91905684302103574,0.080943156978964259,0,0,0.14493782830336233
1,W0,False,broad_common,weighted_ERP_pipeline,muscle_like,0.53871098699264541,15.233307981926737,1,,,0.94712396562498247,0.089421967226456789,0,1,0.1300379769371614
1,W0,False,broad_common,weighted_ERP_pipeline,step_like,0.089291835241277706,18.039822111211681,1,,,0.91903087056569244,0.080969129434307563,0,0,0.14495074647741549
1,W0,False,narrow_antisym,single_trial_operator,none,,20,1,7.53563877964325e-12,0,0.97920495178162603,0.02079504821840461,0,0,0.063634699733514474
1,W0,False,narrow_antisym,weighted_ERP_pipeline,blink_like,0.12032396135339085,18.039821779758004,1,,,0.97920495178137479,0.020795048218834045,0,0,0.063634699733936997
1,W0,False,narrow_antisym,weighted_ERP_pipeline,muscle_like,0.59223532507428855,15.161282242325404,1,,,0.96994899328967987,0.030051006710320127,0,0,0.08859450179359786
1,W0,False,narrow_antisym,weighted_ERP_pipeline,step_like,0.089278609913016727,18.039821779758004,1,,,0.97920495178154876,0.020795048218707146,0,0,0.063634699733441491
1,W0,False,shifted_antisym,single_trial_operator,none,,20,1,7.7884365623503982e-12,0,0.91252725086094111,0.087472749139104078,0,0,0.22447726699084694
1,W0,False,shifted_antisym,weighted_ERP_pipeline,blink_like,0.12032328708057283,18.039821779758004,1,,,0.91252725086093134,0.087472749139244854,0,0,0.22447726699094733
1,W0,False,shifted_antisym,weighted_ERP_pipeline,muscle_like,0.56597114972163454,15.144468521627214,1,,,0.93098395537125911,0.12742936023320983,0,0,0.22030804215361449
1,W0,False,shifted_antisym,weighted_ERP_pipeline,step_like,0.089298494132485806,18.039822261777704,1,,,0.91250421602662235,0.08750627586245785,0,0,0.22451300331295748
1,W0,False,biphasic_common,single_trial_operator,none,,20,1,7.9773965211415998e-12,0,0.94090013037131692,0.059099869628683077,0,0,0.12756709843068409
1,W0,False,biphasic_common,weighted_ERP_pipeline,blink_like,0.12032396135356838,18.039821779758004,1,,,0.94090013037129772,0.059099869628740143,0,0,0.12756709843072583
1,W0,False,biphasic_common,weighted_ERP_pipeline,muscle_like,0.53305699386669447,14.980165419992666,1,,,0.97214165889885262,0.073810505150185723,-1,1,0.12138698941793988
1,W0,False,biphasic_common,weighted_ERP_pipeline,step_like,0.089278609913106211,18.039821779758004,1,,,0.94090013037130871,0.05909986962875724,0,0,0.12756709843077077
1,W0,False,oscillatory,single_trial_operator,none,,20,1,8.4636152253292352e-12,0,0.99996373204413913,3.6267955952573594e-05,0,0,3.8976750167457891e-05
1,W0,False,oscillatory,weighted_ERP_pipeline,blink_like,0.12032396135358325,18.039821779758004,1,,,0.99996373204384426,3.6267956155744407e-05,0,0,3.8976750167681697e-05
1,W0,False,oscillatory,weighted_ERP_pipeline,muscle_like,0.50918469039309788,15.11954190436634,1,,,1.0251634923786739,0.044351217374277718,0,0,0.093781806953240093
1,W0,False,oscillatory,weighted_ERP_pipeline,step_like,0.089278609913020945,18.039821779758004,1,,,0.99996373204411537,3.6267955884627945e-05,0,0,3.897675016744301e-05
1,W0,False,slow_common,single_trial_operator,none,,20,1,5.1505466558410262e-12,0,0.72680778881338792,0.27319221118661208,-1,1,0.32123521545874839
1,W0,False,slow_common,weighted_ERP_pipeline,blink_like,0.12032396135348833,18.039821779758004,1,,,0.72680778881328434,0.27319221118671566,-1,1,0.32123521545882916
1,W0,False,slow_common,weighted_ERP_pipeline,muscle_like,0.56025708153321019,15.277211191928835,1,,,0.75624213620221448,0.27221277277868106,1,1,0.31107405111262959
1,W0,False,slow_common,weighted_ERP_pipeline,step_like,0.089282366285393433,18.039821878934291,1,,,0.72679963687774563,0.27320036312225437,-1,1,0.32123837567168689
1,W0,False,outside_subspace_stress,single_trial_operator,none,,20,1,7.3629990993140382e-12,0,0.94438732626488853,2.0391567900169694,0,54,0.078397198919195804
1,W0,False,outside_subspace_stress,weighted_ERP_pipeline,blink_like,0.12032396135357704,18.039821779758004,1,,,0.94438732626452171,2.0391567900169774,0,54,0.078397198919481534
1,W0,False,outside_subspace_stress,weighted_ERP_pipeline,muscle_like,0.50758810250544695,14.928981744770322,1,,,0.98931598307672186,2.0770619718517018,0,54,0.10608918668883888
1,W0,False,outside_subspace_stress,weighted_ERP_pipeline,step_like,0.0892786099130225,18.039821779758004,1,,,0.94438732626499311,2.0391567900171106,0,54,0.078397198919301719
1,W0,False,mixed_subspace_stress,single_trial_operator,none,,20,1,5.0672799289941395e-12,0,0.92875141442745357,0.07124858557254643,0,0,0.10656430528671744
1,W0,False,mixed_subspace_stress,weighted_ERP_pipeline,blink_like,0.1203239613534608,18.039821779758004,1,,,0.9287514144272766,0.0712485855727234,0,0,0.10656430528700332
1,W0,False,mixed_subspace_stress,weighted_ERP_pipeline,muscle_like,0.52067148668722729,15.050088771058686,1,,,0.96133078129930727,0.069407918348203257,1,1,0.095292002355088612
1,W0,False,mixed_subspace_stress,weighted_ERP_pipeline,step_like,0.089278609913045925,18.039821779758004,1,,,0.92875141442733467,0.071248585572665335,0,0,0.10656430528693672
1,U0_L1,False,broad_common,single_trial_operator,none,,20,1,9.5733421190402623e-12,1.6253868514819835e-05,0.91903985484420703,0.080960145155792973,0,0,0.14493781266135286
1,U0_L1,False,broad_common,weighted_ERP_pipeline,blink_like,0.12032819237838011,18.039821779758004,1,,,0.91903985484398709,0.080960145156012908,0,0,0.1449378126613193
1,U0_L1,False,broad_common,weighted_ERP_pipeline,muscle_like,0.5395774344995985,15.233307981926737,1,,,0.94708266183471368,0.089432963953873901,0,0,0.13002961504328467
1,U0_L1,False,broad_common,weighted_ERP_pipeline,step_like,0.091248607157678796,18.039822111211681,1,,,0.91901367639331499,0.080986323606685007,0,0,0.14495073447627954
1,U0_L1,False,narrow_antisym,single_trial_operator,none,,20,1,7.5318119796552452e-12,0.0015162795262853798,0.97750275733349234,0.02249724266653863,0,0,0.063654733048689877
1,U0_L1,False,narrow_antisym,weighted_ERP_pipeline,blink_like,0.12032819237853642,18.039821779758004,1,,,0.97750275733324143,0.022497242666968509,0,0,0.063654733049112414
1,U0_L1,False,narrow_antisym,weighted_ERP_pipeline,muscle_like,0.59311796478665402,15.161282242325404,1,,,0.96824350367215795,0.031756496327842054,0,0,0.088593423181090356
1,U0_L1,False,narrow_antisym,weighted_ERP_pipeline,step_like,0.091235381036261276,18.039821779758004,1,,,0.97750275733341585,0.022497242666842832,0,0,0.063654733048616879
1,U0_L1,False,shifted_antisym,single_trial_operator,none,,20,1,7.7748918414499713e-12,0.00016099425245715772,0.9123584192069647,0.087641580793081153,0,0,0.22447731456084891
1,U0_L1,False,shifted_antisym,weighted_ERP_pipeline,blink_like,0.12032751538503339,18.039821779758004,1,,,0.91235841920695449,0.087641580793221485,0,0,0.2244773145609493
1,U0_L1,False,shifted_antisym,weighted_ERP_pipeline,muscle_like,0.56684901797777187,15.144468521627214,1,,,0.93075175111147213,0.12777823571956437,0,0,0.22030057749616874
1,U0_L1,False,shifted_antisym,weighted_ERP_pipeline,step_like,0.091255237490653229,18.039822261777704,1,,,0.91233540561108117,0.087674966587271586,0,0,0.2245130504333393
1,U0_L1,False,biphasic_common,single_trial_operator,none,,20,1,8.0138118363493049e-12,0.00020046274558715822,0.94082421453409881,0.059175785465901298,0,0,0.12756733164299353
1,U0_L1,False,biphasic_common,weighted_ERP_pipeline,blink_like,0.12032819237871395,18.039821779758004,1,,,0.94082421453407883,0.059175785465958364,0,0,0.12756733164303521
1,U0_L1,False,biphasic_common,weighted_ERP_pipeline,muscle_like,0.5339703000182503,14.980165419992666,1,,,0.97177819195322257,0.073730287934064553,0,0,0.12134197268114193
1,U0_L1,False,biphasic_common,weighted_ERP_pipeline,step_like,0.09123538103635076,18.039821779758004,1,,,0.94082421453409004,0.059175785465974906,0,0,0.12756733164308023
1,U0_L1,False,oscillatory,single_trial_operator,none,,20,1,8.459666561017043e-12,0.0028662556789439569,0.9971725609564841,0.0028274390436076047,0,0,0.0028977267517952621
1,U0_L1,False,oscillatory,weighted_ERP_pipeline,blink_like,0.12032819237872883,18.039821779758004,1,,,0.99717256095618922,0.0028274390438107755,0,0,0.0028977267517957266
1,U0_L1,False,oscillatory,weighted_ERP_pipeline,muscle_like,0.51006884288705412,15.11954190436634,1,,,1.0222517153650121,0.046866659645159459,0,0,0.093797316643977072
1,U0_L1,False,oscillatory,weighted_ERP_pipeline,step_like,0.091235381036265495,18.039821779758004,1,,,0.99717256095646001,0.0028274390435399921,0,0,0.0028977267517949616
1,U0_L1,False,slow_common,single_trial_operator,none,,20,1,5.1336712658667238e-12,1.4999601347694142e-05,0.72680750380084946,0.27319249619915076,-1,1,0.32123518530522449
1,U0_L1,False,slow_common,weighted_ERP_pipeline,blink_like,0.12032819237863412,18.039821779758004,1,,,0.72680750380074621,0.27319249619925379,-1,1,0.32123518530530515
1,U0_L1,False,slow_common,weighted_ERP_pipeline,muscle_like,0.56110832878183103,15.277211191928835,1,,,0.75601180818889047,0.27238499340960864,1,1,0.31107302472265896
1,U0_L1,False,slow_common,weighted_ERP_pipeline,step_like,0.091239137633784551,18.039821878934291,1,,,0.72679937026924013,0.27320062973075987,-1,1,0.32123834616453684
1,U0_L1,False,outside_subspace_stress,single_trial_operator,none,,20,1,7.3647754561534384e-12,0.0043152965990430796,0.94322554041902418,2.0396424613203665,0,54,0.078534015237568242
1,U0_L1,False,outside_subspace_stress,weighted_ERP_pipeline,blink_like,0.12032819237872283,18.039821779758004,1,,,0.9432255404186578,2.0396424613203754,0,54,0.078534015237853305
1,U0_L1,False,outside_subspace_stress,weighted_ERP_pipeline,muscle_like,0.50850737919117472,14.928981744770322,1,,,0.98827526159144985,2.0774481766229727,0,54,0.10611504736587726
1,U0_L1,False,outside_subspace_stress,weighted_ERP_pipeline,step_like,0.091235381036267049,18.039821779758004,1,,,0.94322554041912798,2.0396424613205086,0,54,0.078534015237674309
1,U0_L1,False,mixed_subspace_stress,single_trial_operator,none,,20,1,5.0841553189684419e-12,0.0019724526579840244,0.9282907702637061,0.0717092297362939,0,0,0.1065218632019107
1,U0_L1,False,mixed_subspace_stress,weighted_ERP_pipeline,blink_like,0.12032819237860637,18.039821779758004,1,,,0.92829077026352991,0.071709229736470093,0,0,0.10652186320219652
1,U0_L1,False,mixed_subspace_stress,weighted_ERP_pipeline,muscle_like,0.52157029434540014,15.050088771058686,1,,,0.96083798450477065,0.069393300825960957,1,1,0.095213600662798728
1,U0_L1,False,mixed_subspace_stress,weighted_ERP_pipeline,step_like,0.091235381036290364,18.039821779758004,1,,,0.92829077026358742,0.071709229736412583,0,0,0.10652186320212992
1,U0_L10,False,broad_common,single_trial_operator,none,,20,1,9.5470298333566461e-12,0.00016224458980117359,0.91888726170115598,0.081112738298844023,0,0,0.1449377382833156
1,U0_L10,False,broad_common,weighted_ERP_pipeline,blink_like,0.12036625977039905,18.039821779758004,1,,,0.91888726170093549,0.081112738299064513,0,0,0.14493773828328221
1,U0_L10,False,broad_common,weighted_ERP_pipeline,muscle_like,0.54185455256744608,15.233307981926737,1,,,0.94722376953902909,0.089256157600180019,0,0,0.12997925693190698
1,U0_L10,False,broad_common,weighted_ERP_pipeline,step_like,0.099937114500473267,18.039822111211681,1,,,0.9188607579671767,0.0811392420328233,0,0,0.14495068753964963
1,U0_L10,False,narrow_antisym,single_trial_operator,none,,20,1,7.5732415130702613e-12,0.013704312223674979,0.96422039238225299,0.03577960761777732,0,0,0.065039081016038766
1,U0_L10,False,narrow_antisym,weighted_ERP_pipeline,blink_like,0.12036625977055537,18.039821779758004,1,,,0.9642203923820023,0.035779607618205089,0,0,0.065039081016451714
1,U0_L10,False,narrow_antisym,weighted_ERP_pipeline,muscle_like,0.59548040686036918,15.161282242325404,1,,,0.95520819944511526,0.044791800554884742,0,0,0.089591675536647514
1,U0_L10,False,narrow_antisym,weighted_ERP_pipeline,step_like,0.099923914802220737,18.039821779758004,1,,,0.96422039238217672,0.035779607618077747,0,0,0.065039081015966893
1,U0_L10,False,shifted_antisym,single_trial_operator,none,,20,1,7.7664541464628201e-12,0.0015904885224836221,0.91086705184775019,0.089132948152295111,0,0,0.22448181332210218
1,U0_L10,False,shifted_antisym,weighted_ERP_pipeline,blink_like,0.12036556305962332,18.039821779758004,1,,,0.91086705184774053,0.089132948152434888,0,0,0.22448181332220254
1,U0_L10,False,shifted_antisym,weighted_ERP_pipeline,muscle_like,0.56916863662183159,15.144468521627214,1,,,0.92931069346308337,0.12885893771260681,0,0,0.22027708118990819
1,U0_L10,False,shifted_antisym,weighted_ERP_pipeline,step_like,0.099943632638101021,18.039822261777704,1,,,0.91084428131133388,0.089164631412687045,0,0,0.22451755897961803
1,U0_L10,False,biphasic_common,single_trial_operator,none,,20,1,7.964517934055948e-12,0.0019487788556828828,0.94014689290987674,0.059853107090123259,0,0,0.12758152577914483
1,U0_L10,False,biphasic_common,weighted_ERP_pipeline,blink_like,0.12036625977073279,18.039821779758004,1,,,0.94014689290985864,0.059853107090180435,0,0,0.12758152577918658
1,U0_L10,False,biphasic_common,weighted_ERP_pipeline,muscle_like,0.53645892033412468,14.980165419992666,1,,,0.97191706918343612,0.073720585318281628,0,0,0.1211444726183204
1,U0_L10,False,biphasic_common,weighted_ERP_pipeline,step_like,0.099923914802309999,18.039821779758004,1,,,0.94014689290986764,0.059853107090196866,0,0,0.12758152577923154
