task,record_id,block,block_size,channel,n_left,n_right,left,right,common,difference
1,A_Task-1,0,10,Fz,6,4,-4.4284435400672928,3.2397800238194554,-0.5943317581239187,-7.6682235638867482
1,A_Task-1,0,10,F3,6,4,-37.116349052804757,6.1027377804191625,-15.506805636192798,-43.219086833223919
1,A_Task-1,0,10,F4,6,4,-44.877727717942001,12.721377632937319,-16.078175042502341,-57.59910535087932
1,A_Task-1,1,10,Fz,5,5,-2.5351069673804454,5.1038475702514861,1.2843703014355203,-7.6389545376319319
1,A_Task-1,1,10,F3,5,5,-17.462472503486538,-6.2885500876332516,-11.875511295559894,-11.173922415853287
1,A_Task-1,1,10,F4,5,5,-14.708173827292589,-1.2520233668801883,-7.9800985970863882,-13.456150460412401
1,A_Task-1,2,10,Fz,7,3,14.913573891222116,11.310255650645663,13.11191477093389,3.6033182405764528
1,A_Task-1,2,10,F3,7,3,14.069581999466896,-71.978930022433175,-28.954674011483139,86.048512021900066
1,A_Task-1,2,10,F4,7,3,11.625446272313921,-83.417326625999991,-35.895940176843034,95.042772898313913
1,A_Task-1,3,10,Fz,7,3,2.1822198243660416,10.461610596775099,6.3219152105705705,-8.279390772409057
1,A_Task-1,3,10,F3,7,3,61.947830768547043,3.8126948275295796,32.880262798038309,58.135135941017467
1,A_Task-1,3,10,F4,7,3,52.859572927825361,15.675198182869588,34.267385555347474,37.184374744955775
1,A_Task-1,4,10,Fz,7,3,-3.1981244723519593,-2.2787545238401221,-2.7384394980960405,-0.91936994851183718
1,A_Task-1,4,10,F3,7,3,-6.3030572400656855,2.4885621743519559,-1.9072475328568648,-8.7916194144176423
1,A_Task-1,4,10,F4,7,3,-13.819524595130314,20.534302447623343,3.3573889262465144,-34.353827042753657
1,A_Task-1,5,10,Fz,4,6,-1.532594050137521,-6.7376962623618306,-4.1351451562496759,5.2051022122243094
1,A_Task-1,5,10,F3,4,6,10.635617969296318,51.24661738233376,30.94111767581504,-40.61099941303744
1,A_Task-1,5,10,F4,4,6,29.494709397606158,54.977628814113153,42.236169105859659,-25.482919416506995
1,A_Task-1,6,10,Fz,4,6,-6.2157870369383215,2.0327764899468912,-2.0915052734957151,-8.2485635268852135
1,A_Task-1,6,10,F3,4,6,1.3307602222431343,-16.419677107930085,-7.5444584428434753,17.75043733017322
1,A_Task-1,6,10,F4,4,6,2.5341170804683237,-22.125952530626535,-9.7959177250791054,24.660069611094858
1,A_Task-1,7,10,Fz,7,3,-6.0618914179739551,-8.9918378959634584,-7.5268646569687068,2.9299464779895033
1,A_Task-1,7,10,F3,7,3,-14.868751703283118,-30.326771804514802,-22.597761753898961,15.458020101231684
1,A_Task-1,7,10,F4,7,3,13.521302200326243,-29.588579531873886,-8.0336386657738217,43.10988173220013
1,A_Task-1,8,10,Fz,3,7,-0.4867970006181821,-8.4612349594044058,-4.474015980011294,7.9744379587862237
1,A_Task-1,8,10,F3,3,7,-13.113692360795076,21.003969357476702,3.9451384983408131,-34.117661718271776
1,A_Task-1,8,10,F4,3,7,-9.1585462048491451,9.1229384389491681,-0.01780388294998847,-18.281484643798315
1,A_Task-1,9,10,Fz,4,6,-10.65776422545998,-2.4193490866234675,-6.5385566560417239,-8.2384151388365119
1,A_Task-1,9,10,F3,4,6,-4.6213761379061005,-15.857969321286804,-10.239672729596453,11.236593183380704
1,A_Task-1,9,10,F4,4,6,-8.1450087530714441,-15.071584437705866,-11.608296595388655,6.9265756846344217
2,A_Task-2,0,10,Fz,6,4,-13.546076561271681,-11.917699850627105,-12.731888205949392,-1.6283767106445755
2,A_Task-2,0,10,F3,6,4,-8.0170316192662465,3.4742322622532544,-2.271399678506496,-11.491263881519501
2,A_Task-2,0,10,F4,6,4,-12.555814510262479,-2.4556768286564825,-7.5057456694594809,-10.100137681605997
2,A_Task-2,1,10,Fz,5,5,-26.626117062092863,10.816186317315706,-7.9049653723885784,-37.442303379408571
2,A_Task-2,1,10,F3,5,5,-26.233932651956827,34.072779223841856,3.9194232859425142,-60.306711875798683
2,A_Task-2,1,10,F4,5,5,-33.090253138343428,25.119724615662502,-3.985264261340463,-58.209977754005934
2,A_Task-2,2,10,Fz,4,6,-33.780251361029599,-33.869061534176438,-33.824656447603019,0.088810173146839588
2,A_Task-2,2,10,F3,4,6,286.70291362644934,-37.508696045421239,124.59710879051406,324.21160967187058
2,A_Task-2,2,10,F4,4,6,-46.783445856860787,-53.14352110894577,-49.963483482903278,6.3600752520849824
2,A_Task-2,3,10,Fz,6,4,-11.025200994506823,-33.733781359961249,-22.379491177234037,22.708580365454424
2,A_Task-2,3,10,F3,6,4,20.252530809541284,121.25564681381873,70.754088811680006,-101.00311600427744
