task,channel,contrast,block_size,n_blocks,effect,ci_low,ci_high,t_stat,p_conditional,assumption_warning,max_abs_lag1,max_abs_skew,inferential_status,n_trials_included,p_holm_conditional,primary_family
1,F3,common,10,20,-5.6087401043490486,-13.324721289505664,1.6555255492119085,-1.3069700134145303,0.22800000000000001,True,0.20679055561451398,0.91636288222131079,conditional_internal_not_population,200,1,True
1,F3,difference,10,20,-5.4878356083919639,-22.178471285598182,12.147937642384438,-0.6020117724231876,0.53800000000000003,False,0.35249254675367819,0.75091951525063627,conditional_internal_not_population,200,1,True
1,F4,common,10,20,-1.4006565576339454,-7.1606585791187785,5.7275871566239109,-0.35453624045577814,0.73099999999999998,True,0.61618793336439714,0.83547714782314875,conditional_internal_not_population,200,1,True
1,F4,difference,10,20,1.773897793949806,-12.346166450398696,19.105480951229836,0.19529118325387984,0.84599999999999997,True,0.46742930206371452,0.67498701206981138,conditional_internal_not_population,200,1,True
1,Fz,common,10,20,-15.606851957754605,-39.835529787584299,5.6737598286514954,-1.1360842186782085,0.28199999999999997,True,0.53215482482697529,1.3390627974651137,conditional_internal_not_population,200,1,True
1,Fz,difference,10,20,-47.259030316082971,-96.333899164404244,-3.0009805217584358,-1.678989596270162,0.11600000000000001,True,0.35582929671454822,1.4598936007592886,conditional_internal_not_population,200,1,True
2,F3,common,10,20,17.383405094731632,-9.7348384388098843,47.363322131134915,1.0171343330535711,0.38,True,0.42293194256592914,1.6250582407183358,conditional_internal_not_population,200,1,True
2,F3,difference,10,20,-12.885559489252078,-108.22222077535814,58.572093761161589,-0.3070675070417066,0.78500000000000003,True,0.19196511598974947,2.1996215942122261,conditional_internal_not_population,200,1,True
2,F4,common,10,20,-12.443660850581347,-37.552118105996314,12.198966002494432,-0.8317993526036751,0.42499999999999999,True,0.47489212403110648,0.41494062859688868,conditional_internal_not_population,200,1,True
2,F4,difference,10,20,-30.26253956740435,-95.254220909034217,27.831482460057622,-1.0211381643097119,0.32900000000000001,True,0.47103231348424762,0.93708113061701126,conditional_internal_not_population,200,1,True
2,Fz,common,10,20,-22.629989780860207,-28.596494748998055,-16.33116921848184,-6.1383823299129201,0.001,False,0.37966425789190772,0.32645431601957647,conditional_internal_not_population,200,0.012,True
2,Fz,difference,10,20,4.8116930802908255,-6.3021346905138209,16.057784571927957,0.7554759767606597,0.434,False,0.11293994590361105,0.31397642861558789,conditional_internal_not_population,200,1,True
1,F3,common,5,37,-6.6562358759230413,-13.070881783529968,0.25980758877542476,-1.8620589630811186,0.066000000000000003,True,0.16273449178256391,1.9211244372659462,conditional_internal_not_population,185,0.72599999999999998,False
1,F3,difference,5,37,-2.26450894922236,-15.895147801326916,12.719330104752457,-0.29554540630318982,0.77700000000000002,False,0.27772357802658465,0.41776073942015618,conditional_internal_not_population,185,1,False
