task,partition,inner_fold,candidate,loss,n_train,n_validation
1,outer_0,1,P0,0.11094148059202445,80,40
1,outer_0,1,W0,0.11715497191151933,80,40
1,outer_0,1,U0_L1,0.11712836697471744,80,40
1,outer_0,1,U0_L10,0.11702758382888896,80,40
1,outer_0,1,U0_L100,0.11682231367985002,80,40
1,outer_0,1,U2_L1,0.117134241661059,80,40
1,outer_0,1,U2_L10,0.11704948190268039,80,40
1,outer_0,1,U2_L100,0.11687851309589925,80,40
1,outer_0,1,U4_L1,0.11713885548613689,80,40
1,outer_0,1,U4_L10,0.11707485963367931,80,40
1,outer_0,1,U4_L100,0.11694823675487807,80,40
1,outer_0,2,P0,0.113706117574858,80,40
1,outer_0,2,W0,0.12571877318393618,80,40
1,outer_0,2,U0_L1,0.12568861135523945,80,40
1,outer_0,2,U0_L10,0.12557368548318967,80,40
1,outer_0,2,U0_L100,0.12547290091836744,80,40
1,outer_0,2,U2_L1,0.12569639441260039,80,40
1,outer_0,2,U2_L10,0.1256111839010865,80,40
1,outer_0,2,U2_L100,0.12546845252059238,80,40
1,outer_0,2,U4_L1,0.12569059809394162,80,40
1,outer_0,2,U4_L10,0.12557487519805355,80,40
1,outer_0,2,U4_L100,0.12533918525399235,80,40
1,outer_0,3,P0,0.028973043443008634,80,40
1,outer_0,3,W0,0.0129914036803737,80,40
1,outer_0,3,U0_L1,0.012981648369930252,80,40
1,outer_0,3,U0_L10,0.012949923468730258,80,40
1,outer_0,3,U0_L100,0.012879509252772738,80,40
1,outer_0,3,U2_L1,0.012979814680999995,80,40
1,outer_0,3,U2_L10,0.01294316700710897,80,40
1,outer_0,3,U2_L100,0.012881974159056736,80,40
1,outer_0,3,U4_L1,0.012978833145404768,80,40
1,outer_0,3,U4_L10,0.012940233529293811,80,40
1,outer_0,3,U4_L100,0.012881018093918379,80,40
1,outer_1,0,P0,0.14100937786537338,80,40
1,outer_1,0,W0,0.13647932053376396,80,40
1,outer_1,0,U0_L1,0.1364707609241978,80,40
1,outer_1,0,U0_L10,0.13643956804592294,80,40
1,outer_1,0,U0_L100,0.13622377607121944,80,40
1,outer_1,0,U2_L1,0.13647231161675372,80,40
1,outer_1,0,U2_L10,0.13644781585962651,80,40
1,outer_1,0,U2_L100,0.13637990699062413,80,40
1,outer_1,0,U4_L1,0.13646945643459524,80,40
1,outer_1,0,U4_L10,0.1364373780016232,80,40
1,outer_1,0,U4_L100,0.13637197277167656,80,40
1,outer_1,2,P0,1.0119059335490217,80,40
1,outer_1,2,W0,1.1010926608863163,80,40
1,outer_1,2,U0_L1,1.1010955141425576,80,40
1,outer_1,2,U0_L10,1.1010265973531514,80,40
1,outer_1,2,U0_L100,1.1004961454452875,80,40
1,outer_1,2,U2_L1,1.1010523637183343,80,40
1,outer_1,2,U2_L10,1.1009271014391873,80,40
1,outer_1,2,U2_L100,1.1009319406810778,80,40
1,outer_1,2,U4_L1,1.1010048015062242,80,40
1,outer_1,2,U4_L10,1.1006656105258197,80,40
1,outer_1,2,U4_L100,1.1001087075464486,80,40
1,outer_1,3,P0,0.063699799148658642,80,40
1,outer_1,3,W0,0.032124665301223661,80,40
1,outer_1,3,U0_L1,0.032103432316047335,80,40
1,outer_1,3,U0_L10,0.03204469959251674,80,40
1,outer_1,3,U0_L100,0.032037580032436563,80,40
1,outer_1,3,U2_L1,0.032109547674852607,80,40
1,outer_1,3,U2_L10,0.032063471485624627,80,40
1,outer_1,3,U2_L100,0.032012884366682849,80,40
1,outer_1,3,U4_L1,0.032113916845285584,80,40
1,outer_1,3,U4_L10,0.03208456702645697,80,40
1,outer_1,3,U4_L100,0.032069291844494217,80,40
1,outer_2,0,P0,0.14871105981227331,80,40
1,outer_2,0,W0,0.087042110488766297,80,40
