task,repeat,method,contrast,channel,correlation,rmse,rms_half_a,rms_half_b
1,0,P0,common,Fz,0.33135141566490867,11.49638335376777,17.410232772534371,12.568276376963356
1,0,P0,common,F3,0.074629179387604092,10.910650023226236,3.8007349892650275,9.6371328891443966
1,0,P0,common,F4,0.19324994465972781,14.268407798305146,8.8586013272568866,11.500816646085134
1,0,P0,difference,Fz,-0.27032061303830995,25.168730011386984,34.93688130496475,33.049295626969716
1,0,P0,difference,F3,0.0028383050826453707,11.108779042983034,6.5527638589483503,5.8621571270565216
1,0,P0,difference,F4,0.057051830041145037,7.8333181330821029,8.478550635152013,6.6524659586070038
1,0,W0,common,Fz,0.86334020293534708,3.3071754294662199,4.6160859614544822,6.4289670765467193
1,0,W0,common,F3,0.79901546715515992,5.9400001763983594,4.0753945612263802,8.8564959171656898
1,0,W0,common,F4,0.89017862585391694,5.3084977323195339,4.9430139704505933,9.1113116907385585
1,0,W0,difference,Fz,0.21367722281865961,10.996935072128183,5.0292534145762851,8.2473256159123824
1,0,W0,difference,F3,-0.362282629455631,13.32385061211788,9.4638866275630988,4.9302887686352008
1,0,W0,difference,F4,-0.18204948883382219,9.9119296717943595,6.3695543858160244,6.7500498186278328
1,0,SELECTED,common,Fz,0.87870102206641754,3.1748329047014239,4.5639081470317162,6.4001448632361955
1,0,SELECTED,common,F3,0.81063457002122086,5.9086559093189468,4.0409682337035884,8.8712702442006055
1,0,SELECTED,common,F4,0.89758669210223729,5.2639911582985777,4.9110123686532097,9.1108858460070454
1,0,SELECTED,difference,Fz,0.26451476780876498,10.725188037550934,4.8404067575058027,8.1436142331178569
1,0,SELECTED,difference,F3,-0.39283679255878434,13.274105676768437,9.4318631047144326,4.8273087132960288
1,0,SELECTED,difference,F4,-0.18132683123818238,9.8322448168775747,6.2732303941915397,6.68865479490624
1,1,P0,common,Fz,0.29337710039735571,10.112363080209724,14.589872032048657,15.121647834989334
1,1,P0,common,F3,0.57379118362280668,6.4448213952672901,5.6324465197812597,5.8353508449369516
1,1,P0,common,F4,0.35367005401431956,9.0760491036826583,7.7490601934296404,9.3420547900052995
1,1,P0,difference,Fz,-0.11833196219267747,26.853449725090147,39.81047783976156,26.670371738216911
1,1,P0,difference,F3,-0.50448806151980952,10.784409483175839,4.4490254459639536,7.3472029884186645
1,1,P0,difference,F4,0.15066909808378617,16.774989230294416,12.416880164562059,8.0798146203032406
1,1,W0,common,Fz,0.77310330131931437,5.1706035517207019,5.275945766788861,6.4218956077255642
1,1,W0,common,F3,0.52843298168367681,16.673477324536492,12.027192115325983,8.1366443894788354
1,1,W0,common,F4,0.64462046510443349,11.441887857274843,9.1029601672553326,8.5384715365681689
1,1,W0,difference,Fz,-0.40349504831429595,14.990053542765432,9.9388775952747821,7.3674147211013929
1,1,W0,difference,F3,-0.62711223704160113,9.4606876293665607,5.7278124213080988,6.9558201313704604
1,1,W0,difference,F4,-0.18340283482033046,12.665310291653986,7.9887582908950963,6.7417223241543036
1,1,SELECTED,common,Fz,0.78208512414260922,5.0787685992783231,5.2421348823367149,6.3729094898953589
