task,repeat,half,selected
1,0,0,U0_L100
1,0,1,U2_L100
1,1,0,U0_L100
1,1,1,U0_L100
1,2,0,P0
1,2,1,U0_L100
1,3,0,U0_L100
1,3,1,U0_L100
1,4,0,P0
1,4,1,U0_L100
1,5,0,U0_L100
1,5,1,U0_L100
1,6,0,U0_L100
1,6,1,P0
1,7,0,U4_L100
1,7,1,U0_L100
1,8,0,U4_L100
1,8,1,P0
1,9,0,U0_L100
1,9,1,U0_L100
1,10,0,U0_L100
1,10,1,U0_L100
1,11,0,U0_L100
1,11,1,P0
1,12,0,P0
1,12,1,U0_L100
1,13,0,U4_L100
1,13,1,P0
1,14,0,P0
1,14,1,U0_L100
1,15,0,P0
1,15,1,U0_L100
1,16,0,U2_L100
1,16,1,P0
1,17,0,P0
1,17,1,U2_L100
1,18,0,U0_L100
1,18,1,U0_L100
1,19,0,U0_L100
1,19,1,P0
2,0,0,U0_L100
2,0,1,U2_L100
2,1,0,U2_L100
2,1,1,U0_L100
2,2,0,U0_L100
2,2,1,U2_L100
2,3,0,U0_L100
2,3,1,U0_L100
2,4,0,U2_L100
2,4,1,U0_L100
2,5,0,U0_L100
2,5,1,U2_L100
2,6,0,U0_L100
2,6,1,U0_L100
2,7,0,U0_L100
2,7,1,U2_L100
2,8,0,U0_L100
2,8,1,U2_L100
2,9,0,U2_L100
2,9,1,U0_L100
2,10,0,U0_L100
2,10,1,U4_L100
2,11,0,P0
2,11,1,U2_L100
2,12,0,U0_L100
2,12,1,U0_L100
2,13,0,P0
2,13,1,U0_L100
2,14,0,U2_L100
2,14,1,U4_L100
2,15,0,U2_L100
2,15,1,U0_L100
2,16,0,P0
2,16,1,U2_L100
2,17,0,U0_L100
2,17,1,P0
2,18,0,U0_L100
2,18,1,U4_L100
2,19,0,U0_L100
2,19,1,U0_L100
