task,method,contrast,mean_correlation,median_correlation,mean_rmse
1,P0,common,0.55377119296808297,0.57515717282915291,10.894625422841338
1,P0,difference,-0.30126876877789271,-0.25891353496158287,24.967977968344972
1,SELECTED,common,0.70724342994265932,0.78207337791023956,10.26327253585681
1,SELECTED,difference,-0.14016015448432481,-0.17974135686057979,19.709471363163015
1,W0,common,0.7850401293255177,0.83179790181609903,7.5930721259063114
1,W0,difference,-0.17607206229828695,-0.14506503585054489,11.776257922716075
2,P0,common,0.91962222945694228,0.94372141788455199,20.91741554691848
2,P0,difference,-0.18364923074502182,-0.320808182023261,48.245839921160417
2,SELECTED,common,0.97320093104456984,0.99002376621540567,13.554040832533435
2,SELECTED,difference,-0.3131291453264069,-0.37918250412202775,28.446175227162072
2,W0,common,0.98504372481811253,0.99052964016346123,12.181553661374169
2,W0,difference,-0.29417349720064578,-0.33025701318756984,25.993782619601426
